count,pi
0,4.0
1,4.0
2,3.0
3,2.6666666666666665
4,2.857142857142857
5,3.0
6,3.111111111111111
7,2.909090909090909
8,3.0
9,3.076923076923077
10,3.142857142857143
11,3.2
12,3.25
13,3.111111111111111
14,3.1578947368421053
15,3.2
16,3.238095238095238
17,3.272727272727273
18,3.3043478260869565
19,3.3333333333333335
20,3.36
21,3.3846153846153846
22,3.4074074074074074
23,3.4285714285714284
24,3.4482758620689653
25,3.466666666666667
26,3.4838709677419355
27,3.393939393939394
28,3.411764705882353
29,3.4285714285714284
30,3.4444444444444446
31,3.4594594594594597
32,3.473684210526316
33,3.4871794871794872
34,3.5
35,3.5121951219512195
36,3.5238095238095237
37,3.4545454545454546
38,3.466666666666667
39,3.404255319148936
40,3.4166666666666665
41,3.4285714285714284
42,3.372549019607843
43,3.3846153846153846
44,3.3962264150943398
45,3.3454545454545452
46,3.2982456140350878
47,3.2542372881355934
48,3.2666666666666666
49,3.278688524590164
50,3.238095238095238
51,3.25
52,3.2615384615384615
53,3.272727272727273
54,3.283582089552239
55,3.2941176470588234
56,3.3043478260869565
57,3.3142857142857145
58,3.323943661971831
59,3.3333333333333335
60,3.3424657534246576
61,3.3513513513513513
62,3.36
63,3.3684210526315788
64,3.3333333333333335
65,3.3417721518987342
66,3.35
67,3.3580246913580245
68,3.2857142857142856
69,3.2941176470588234
70,3.302325581395349
71,3.272727272727273
72,3.2808988764044944
73,3.2888888888888888
74,3.260869565217391
75,3.2688172043010755
76,3.276595744680851
77,3.2842105263157895
78,3.2577319587628866
79,3.2653061224489797
80,3.24
81,3.2475247524752477
82,3.2549019607843137
83,3.262135922330097
84,3.269230769230769
85,3.276190476190476
86,3.2830188679245285
87,3.259259259259259
88,3.2660550458715596
89,3.272727272727273
90,3.279279279279279
91,3.2280701754385963
92,3.206896551724138
93,3.213675213675214
94,3.2203389830508473
95,3.226890756302521
96,3.206611570247934
97,3.2131147540983607
98,3.193548387096774
99,3.2
100,3.2063492063492065
101,3.2125984251968505
102,3.169230769230769
103,3.1755725190839694
104,3.1818181818181817
105,3.18796992481203
106,3.1940298507462686
107,3.2
108,3.2058823529411766
109,3.2116788321167884
110,3.217391304347826
111,3.223021582733813
