omega	RE_E	IM_E	RE_P	IM_P	Alpha	T2
-13.240418118466891	6.883550876207064	3.939147051644046e-06	1746.011794243488	2548.44691207364	370.2225724396612	156.2291592255711
-12.543554006968634	7.064146943558946	-1.0322465581004314e-05	1785.9356235053149	2617.545169124015	370.53982593024676	156.22915932111718
-11.846689895470377	7.239337533108951	-2.4324472593704154e-05	1824.2558311109135	2684.8327369532826	370.8680323605202	156.229159413479
-11.149825783972119	7.40849248014651	-3.767050707459677e-05	1860.8241823514338	2750.0691765337892	371.206240095691	156.2291595027642
-10.452961672473862	7.570992133540042	-4.9981878514344e-05	1895.5019819162046	2813.0174712161256	371.5536795081502	156.22915958907706
-9.756097560975604	7.726231103177683	-6.0908424388332826e-05	1928.1571506711803	2873.449583243645	371.91028135064516	156.22915967251754
-9.059233449477347	7.873621990164407	-7.01385721265208e-05	1958.6596584821486	2931.1465277359584	372.2764413876597	156.22915975318278
-8.36236933797909	8.01259906792075	-7.740831888520549e-05	1986.8808580391535	2985.8943930104806	372.65231447743884	156.22915983116562
-7.665505226480832	8.142621882166743	-8.250886709485182e-05	2012.698162547909	3037.4817511459714	373.03735693264065	156.22915990655662
-6.968641114982574	8.263178737966477	-8.529269207029728e-05	2036.0010858579749	3085.702329693586	373.4305456603389	156.22915997944256
-6.271777003484317	8.373790042558385	-8.567786294710411e-05	2056.693387660388	3130.3614056301876	373.8310171144109	156.2291600499074
-5.5749128919860595	8.474011473602683	-8.365048852199586e-05	2074.6900866668084	3171.28067124212	374.23847736576016	156.2291601180322
-4.878048780487802	8.563436943734391	-7.926521378412785e-05	2089.913232909792	3208.2979726718236	374.65299718000114	156.22916018389515
-4.181184668989545	8.641701333908491	-7.264374941449605e-05	2102.2913968641337	3241.263519342321	375.07442876412966	156.22916024757197
-3.484320557491287	8.708482969945598	-6.39714736635104e-05	2111.7638909834777	3270.0375937012395	375.50203836593323	156.22916030913518
-2.7874564459930298	8.763505818914018	-5.349220210887032e-05	2118.2858864240416	3294.4930693777487	375.9347077860357	156.22916036865564
-2.0905923344947723	8.806541384491291	-4.150127416495267e-05	2121.8297152619552	3314.5210465944633	376.37148354157927	156.22916042620096
-1.3937282229965149	8.83741028320795	-2.8337154325248334e-05	2122.3815184088894	3330.034742260594	376.81192124458903	156.229160481837
-0.6968641114982574	8.85598348645458	-1.437178948009582e-05	2119.9369988475128	3340.9685578215535	377.2558974650636	156.22916053562736
0.0	8.862183216297185	0.0	2114.5007366307123	3347.27406297193	377.70309880486707	156.22916058763283
0.6968641114982574	8.85598348645458	1.437178948009582e-05	2106.0897251722276	3348.9175655160657	378.15270915939	156.22916063791274
1.3937282229965433	8.83741028320795	2.833715432521412e-05	2094.737429761826	3345.882096686078	378.60360361836473	156.22916068652452
2.0905923344948008	8.80654138449129	4.150127416507187e-05	2080.4941392299693	3338.1720026474286	379.0548471182459	156.22916073352306
2.787456445993058	8.763505818914016	5.3492202108989594e-05	2063.423113041348	3325.815627245247	379.50599917039676	156.22916077896184
3.4843205574913156	8.708482969945596	6.397147366355093e-05	2043.5961637484766	3308.8634657497855	379.9569299242787	156.22916082289248
4.181184668989573	8.64170133390849	7.264374941446622e-05	2021.092694977198	3287.383645735458	380.4073444337694	156.22916086536452
4.8780487804878305	8.563436943734388	7.926521378412526e-05	1996.0025521467294	3261.4590901095953	380.8564990650176	156.2291609064263
5.574912891986088	8.47401147360268	8.365048852171345e-05	1968.4291180507892	3231.188779567545	381.30339546226634	156.22916094612404
6.271777003484345	8.37379004255838	8.567786294728038e-05	1938.4888488066817	3196.6912148261017	381.74725712791735	156.22916098450304
6.968641114982603	8.263178737966474	8.529269207062717e-05	1906.3070464319214	3158.105879748862	382.18781205392014	156.22916102160644
7.66550522648086	8.142621882166738	8.250886709503876e-05	1872.0133925346931	3115.590488524638	382.62510088920595	156.22916105747626
8.362369337979118	8.012599067920746	7.74083188854329e-05	1835.7408737411813	3069.3159711764906	383.05900621018293	156.22916109215305
9.059233449477375	7.873621990164402	7.01385721262624e-05	1797.6281921961522	3019.463269064576	383.48897867405327	156.22916112567614
9.756097560975633	7.726231103177674	6.090842438834085e-05	1757.8222146932576	2966.2239958635078	383.9142395012962	156.22916115808346
10.45296167247389	7.570992133540032	4.9981878514365646e-05	1716.4770311033408	2909.8029928708893	384.33426024613595	156.22916118941149
11.149825783972148	7.408492480146504	3.767050707426862e-05	1673.7496689308762	2850.418866297033	384.74903811049256	156.22916121969564
11.846689895470405	7.2393375331089445	2.4324472594087978e-05	1629.7958721323919	2788.300644938303	385.15888449368344	156.2291612489702
12.543554006968662	7.0641469435589395	1.0322465580387168e-05	1584.7692198071254	2723.68258873412	385.5639321704677	156.22916127726836
13.24041811846692	6.883550876207052	-3.93914705211836e-06	1538.8234433658654	2656.800956682511	385.963855728068	156.22916130462204
13.937282229965177	6.698186276006457	-1.8057648657534834e-05	1492.1146079079963	2587.8944635259923	386.3580944846066	156.2291613310622
14.634146341463435	6.508693179430233	-3.163544739914679e-05	1444.800062271115	2517.2063933012478	386.7463631002578	156.22916135661868
15.331010452961692	6.315711099718348	-4.4291368319118694e-05	1397.034418851242	2444.984715165681	387.1289350773179	156.22916138132078
16.02787456445995	6.119875514004029	-5.56714391047377e-05	1348.9658541460192	2371.4786509387764	387.5063988838897	156.229161405196
16.724738675958207	5.921814478513481	-6.545886158992238e-05	1300.7356800501173	2296.933778675783	387.8791145634779	156.2291614282717
17.421602787456465	5.722145396077506	-7.338288583414072e-05	1252.4808358465975	2221.589230763869	388.24691420700566	156.22916145057405
18.118466898954722	5.521471958025891	-7.922633648013208e-05	1204.3360736447469	2145.678417261822	388.6093624805233	156.2291614721282
18.81533101045298	5.3203812801908805	-8.283158112106492e-05	1156.4330436675602	2069.431189574231	388.96633235137625	156.22916149295867
19.512195121951237	5.119441250256033	-8.410477629018425e-05	1108.8967268745905	1993.074023139871	389.31831477114383	156.22916151308934
20.209059233449494	4.919198101087355	-8.301827714114925e-05	1061.8423904714248	1916.8269425244298	389.66612497572146	156.22916153254283
20.90592334494775	4.720174222009898	-7.961115035334754e-05	1015.3757182733202	1840.8993086478831	390.01027229372687	156.22916155134143
21.60278745644601	4.522866217279634	-7.398778471879311e-05	969.5955822950845	1765.4877889757067	390.350623900808	156.2291615695068
